# Content: pats_and_apts
# Copyright: 2022, Ecole Polytechnique Federale de Lausanne.
# License: Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0)
# Version: Release 4 (07/30/2022)
organism	enzyme_type	uniprot_ac	uniprot_id	uniprot_description	main_gene_name	enzyme_family	enzyme_number	nber_hits	nber_substrates	list_isoform_substrates	list_sites_by_isoform_substrates
Rattus norvegicus	PAT	Q923G5	ZDHC7_RAT	Palmitoyltransferase ZDHHC7, EC 2.3.1.225 (Acyltransferase ZDHHC7, EC 2.3.1.-) (Sertoli cell gene with a zinc finger domain protein) (Zinc finger DHHC domain-containing protein 7, DHHC7)	Zdhhc7	ZDHHC	7	3	3	P60881;P31016	85,88,90,92;3,5
Rattus norvegicus	PAT	Q9JKR5	ZDHC2_RAT	Palmitoyltransferase ZDHHC2, EC 2.3.1.225 (Acyltransferase ZDHHC2, EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 2, DHHC-2)	Zdhhc2	ZDHHC	2	2	1	P31016	3,5
Mus musculus	PAT	A0PK84	ZDH22_MOUSE	Palmitoyltransferase ZDHHC22, EC 2.3.1.225 (Zinc finger DHHC domain-containing protein 22, DHHC-22, zDHHC22)	Zdhhc22	ZDHHC	22	1	1	Q08460-5	53,54,56
Homo sapiens	PAT	Q6UX98	ZDH24_HUMAN	Probable palmitoyltransferase ZDHHC24, EC 2.3.1.225 (Zinc finger DHHC domain-containing protein 24)	ZDHHC24	ZDHHC	24	2	2		
Homo sapiens	PAT	Q9NYG2	ZDHC3_HUMAN	Palmitoyltransferase ZDHHC3, EC 2.3.1.225 (Acyltransferase ZDHHC3, EC 2.3.1.-) (Protein DHHC1) (Zinc finger DHHC domain-containing protein 3, DHHC-3)	ZDHHC3	ZDHHC	3	35	27	Q9NXR1;Q9GZM8;P49798;P14416;Q14160;P21818;Q8VIM4;P40763;O95372	274;273;2;443;4,10;22,24;54,56;108;2
Homo sapiens	PAT	Q8IZN3	ZDH14_HUMAN	Palmitoyltransferase ZDHHC14, EC 2.3.1.225 (DHHC domain-containing cysteine-rich protein 14, DHHC-14) (NEW1 domain-containing protein, NEW1CP) (Zinc finger DHHC domain-containing protein 14)	ZDHHC14	ZDHHC	14	4	4	P07550;Q12852	265;403
Drosophila melanogaster	PAT	A2VEY9	APP_DROME	Palmitoyltransferase app, EC 2.3.1.225 (Protein approximated)	app			2	2	P33450	4938,4987
Homo sapiens	PAT	Q96GR4	ZDH12_HUMAN	Palmitoyltransferase ZDHHC12, EC 2.3.1.225 (DHHC domain-containing cysteine-rich protein 12, DHHC-12) (Zinc finger DHHC domain-containing protein 12) (Zinc finger protein 400)	ZDHHC12	ZDHHC	12	2	2	O15551	181,182,184
Homo sapiens	PAT	P0C7U3	ZH11B_HUMAN	Probable palmitoyltransferase ZDHHC11B, EC 2.3.1.225 (Zinc finger DHHC domain-containing protein 11B, DHHC-11B)	ZDHHC11B	ZDHHC	11	0	0		
Mus musculus	APT	Q80YU0	ABHGB_MOUSE	Protein ABHD16B, EC 3.-.-.- (Alpha/beta hydrolase domain-containing protein 16B, Abhydrolase domain-containing protein 16B)	Abhd16b	ABHD	16	0	0		
Homo sapiens	APT	O75608	LYPA1_HUMAN	Acyl-protein thioesterase 1, APT-1, hAPT1, EC 3.1.2.- (Lysophospholipase 1) (Lysophospholipase I, LPL-I, LysoPLA I) (Palmitoyl-protein hydrolase, EC 3.1.2.22)	LYPLA1	LYPLA	1	27	23	P07550;P49757;Q08460-5;Q07065;Q14654;P32418	265;37,160,165;53,54,56;100;166;765,773
Bos taurus	APT	F1MRZ4	F1MRZ4_BOVIN	Phosphatidylserine lipase ABHD16A (Alpha/beta hydrolase domain-containing protein 16A) (Monoacylglycerol lipase ABHD16A)	ABHD16A	ABHD	16	0	0		
Bos taurus	APT	Q08DW9	ABD12_BOVIN	Lysophosphatidylserine lipase ABHD12, EC 3.1.-.- (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12, EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12, EC 3.1.-.-)	ABHD12	ABHD	12	0	0		
Bos taurus	APT	Q3MHR0	LYPA1_BOVIN	Acyl-protein thioesterase 1, APT-1, EC 3.1.2.- (Lysophospholipase 1) (Lysophospholipase I, LPL-I, LysoPLA I) (Palmitoyl-protein hydrolase, EC 3.1.2.22)	LYPLA1	LYPLA	1	0	0		
Homo sapiens	APT	F2Z3G6	F2Z3G6_HUMAN	Phosphatidylserine lipase ABHD16A	ABHD16A	ABHD	16	0	0		
Rattus norvegicus	APT	Q5XIL6	ABHGB_RAT	Protein ABHD16B, EC 3.-.-.- (Alpha/beta hydrolase domain-containing protein 16B, Abhydrolase domain-containing protein 16B)	Abhd16b	ABHD	16	0	0		
Mus musculus	APT	Q8VCV1	AB17C_MOUSE	Alpha/beta hydrolase domain-containing protein 17C, Abhydrolase domain-containing protein 17C, EC 3.1.2.22	Abhd17c	ABHD	17	2	1		
Mus musculus	APT	Q99JW1	AB17A_MOUSE	Alpha/beta hydrolase domain-containing protein 17A, Abhydrolase domain-containing protein 17A, EC 3.1.2.22	Abhd17a	ABHD	17	0	0		
Mus musculus	APT	Q9Z1Q2	ABHGA_MOUSE	Phosphatidylserine lipase ABHD16A, EC 3.1.-.- (Alpha/beta hydrolase domain-containing protein 16A, Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5, mBAT5) (Monoacylglycerol lipase ABHD16A, EC 3.1.1.23)	Abhd16a	ABHD	16	0	0		
Rattus norvegicus	APT	Q6MG55	ABHGA_RAT	Phosphatidylserine lipase ABHD16A, EC 3.1.-.- (Alpha/beta hydrolase domain-containing protein 16A, Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5 homolog) (Monoacylglycerol lipase ABHD16A, EC 3.1.1.23)	Abhd16a	ABHD	16	0	0		
Homo sapiens	APT	P50897	PPT1_HUMAN	Palmitoyl-protein thioesterase 1, PPT-1, EC 3.1.2.22 (Palmitoyl-protein hydrolase 1)	PPT1	PPT	1	1	1	P32418	765
Bos taurus	APT	P45478	PPT1_BOVIN	Palmitoyl-protein thioesterase 1, PPT-1, EC 3.1.2.22 (Palmitoyl-protein hydrolase 1)	PPT1	PPT	1	3	3		
Homo sapiens	APT	Q8N2K0	ABD12_HUMAN	Lysophosphatidylserine lipase ABHD12, EC 3.1.-.- (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12, hABHD12) (Monoacylglycerol lipase ABHD12, EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12, EC 3.1.-.-)	ABHD12	ABHD	12	0	0		
Mus musculus	APT	P97823	LYPA1_MOUSE	Acyl-protein thioesterase 1, APT-1, EC 3.1.2.- (Lysophospholipase 1) (Lysophospholipase I, LPL-I, LysoPLA I) (Palmitoyl-protein hydrolase, EC 3.1.2.22)	Lypla1	LYPLA	1	2	1		
Mus musculus	APT	O88531	PPT1_MOUSE	Palmitoyl-protein thioesterase 1, PPT-1, EC 3.1.2.22 (Palmitoyl-protein hydrolase 1)	Ppt1	PPT	1	3	3		
Rattus norvegicus	APT	P70470	LYPA1_RAT	Acyl-protein thioesterase 1, APT-1, EC 3.1.2.- (Lysophospholipase 1) (Lysophospholipase I, LPL-I, LysoPLA I) (Palmitoyl-protein hydrolase, EC 3.1.2.22)	Lypla1	LYPLA	1	9	6		
Rattus norvegicus	APT	P45479	PPT1_RAT	Palmitoyl-protein thioesterase 1, PPT-1, EC 3.1.2.22 (Palmitoyl-protein hydrolase 1)	Ppt1	PPT	1	0	0		
Rattus norvegicus	APT	Q6AYT7	ABD12_RAT	Lysophosphatidylserine lipase ABHD12, EC 3.1.-.- (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12, EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12, EC 3.1.-.-)	Abhd12	ABHD	12	1	1		
Danio rerio	APT	Q08C93	ABD12_DANRE	Lysophosphatidylserine lipase ABHD12, EC 3.1.-.- (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12, EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12, EC 3.1.-.-)	abhd12	ABHD	12	0	0		
Caenorhabditis elegans	APT	Q20390	PPT1_CAEEL	Palmitoyl-protein thioesterase 1, PPT-1, EC 3.1.2.22 (Palmitoyl-protein hydrolase 1)	ppt-1	PPT	1	0	0		
Gallus gallus	APT	Q5ZIN0	ABD12_CHICK	Lysophosphatidylserine lipase ABHD12, EC 3.1.-.- (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12, EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12, EC 3.1.-.-)	ABHD12	ABHD	12	0	0		
Xenopus laevis	APT	Q6IRP4	ABHDD_XENLA	Protein ABHD13, EC 3.-.-.- (Alpha/beta hydrolase domain-containing protein 13, Abhydrolase domain-containing protein 13)	abhd13	ABHD	13	0	0		
Danio rerio	APT	Q32LS6	ABHDD_DANRE	Protein ABHD13, EC 3.-.-.- (Alpha/beta hydrolase domain-containing protein 13, Abhydrolase domain-containing protein 13)	abhd13	ABHD	13	0	0		
Gallus gallus	APT	Q5ZJL8	ABHDD_CHICK	Protein ABHD13, EC 3.-.-.- (Alpha/beta hydrolase domain-containing protein 13, Abhydrolase domain-containing protein 13)	ABHD13	ABHD	13	0	0		
Drosophila melanogaster	APT	Q9W3C7	PPT1_DROME	Palmitoyl-protein thioesterase 1, PPT-1, EC 3.1.2.22 (Palmitoyl-protein hydrolase 1)	Ppt1	PPT	1	0	0		
Homo sapiens	APT	Q7Z5M8	AB12B_HUMAN	Protein ABHD12B, EC 3.-.-.- (Abhydrolase domain-containing protein 12B) (Alpha/beta hydrolase domain-containing protein 12B)	ABHD12B	ABHD	12	0	0		
Bos taurus	APT	F1MYM8	F1MYM8_BOVIN	Alpha/beta hydrolase domain-containing protein 17A	ABHD17A	ABHD	17	0	0		
Rattus norvegicus	APT	Q9QYL8	LYPA2_RAT	Acyl-protein thioesterase 2, APT-2, EC 3.1.2.- (Lysophospholipase 2) (Lysophospholipase II, LPL-II, LysoPLA II) (Palmitoyl-protein hydrolase, EC 3.1.2.22)	Lypla2	LYPLA	2	3	2		
Mus musculus	APT	Q7M759	AB17B_MOUSE	Alpha/beta hydrolase domain-containing protein 17B, Abhydrolase domain-containing protein 17B, EC 3.1.2.22	Abhd17b	ABHD	17	0	0		
Mus musculus	APT	Q99LR1	ABD12_MOUSE	Lysophosphatidylserine lipase ABHD12, EC 3.1.1.- (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12, EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12, EC 3.1.-.-)	Abhd12	ABHD	12	0	0		
Mus musculus	APT	Q80UX8	ABHDD_MOUSE	Protein ABHD13, EC 3.-.-.- (Alpha/beta hydrolase domain-containing protein 13, Abhydrolase domain-containing protein 13)	Abhd13	ABHD	13	0	0		
Gallus gallus	APT	Q5ZJ01	AB17B_CHICK	Alpha/beta hydrolase domain-containing protein 17B, Abhydrolase domain-containing protein 17B, EC 3.1.2.22	ABHD17B	ABHD	17	0	0		
Mus musculus	APT	Q9WTL7	LYPA2_MOUSE	Acyl-protein thioesterase 2, APT-2, EC 3.1.2.- (Lysophospholipase 2) (Lysophospholipase II, LPL-II, LysoPLA II, mLyso II) (Palmitoyl-protein hydrolase, EC 3.1.2.22)	Lypla2	LYPLA	2	0	0		
Bos taurus	APT	Q2HJ19	AB17A_BOVIN	Alpha/beta hydrolase domain-containing protein 17A, Abhydrolase domain-containing protein 17A, EC 3.1.2.22	ABHD17A	ABHD	17	0	0		
Oryctolagus cuniculus	APT	O77821	LYPA1_RABIT	Acyl-protein thioesterase 1, APT-1, EC 3.1.2.- (Calcium-independent phospholipase A2, CaIPLA2) (Lysophospholipase 1) (Lysophospholipase I, LPL-I, LysoPLA I) (Palmitoyl-protein hydrolase, EC 3.1.2.22)	LYPLA1	LYPLA	1	0	0		
Gallus gallus	APT	Q5ZJX1	AB17C_CHICK	Alpha/beta hydrolase domain-containing protein 17C, Abhydrolase domain-containing protein 17C, EC 3.1.2.22	ABHD17C	ABHD	17	0	0		
Bos taurus	APT	A5PKD9	AB17C_BOVIN	Alpha/beta hydrolase domain-containing protein 17C, Abhydrolase domain-containing protein 17C, EC 3.1.2.22	ABHD17C	ABHD	17	0	0		
Homo sapiens	APT	F2Z3Q3	F2Z3Q3_HUMAN	Phosphatidylserine lipase ABHD16A	ABHD16A	ABHD	16	0	0		
Homo sapiens	APT	Q9H3Z7	ABHGB_HUMAN	Protein ABHD16B, EC 3.-.-.- (Alpha/beta hydrolase domain-containing protein 16B, Abhydrolase domain-containing protein 16B)	ABHD16B	ABHD	16	0	0		
Rattus norvegicus	APT	Q6AY17	AB17B_RAT	Alpha/beta hydrolase domain-containing protein 17B, Abhydrolase domain-containing protein 17B, EC 3.1.2.22	Abhd17b	ABHD	17	11	4		
Homo sapiens	APT	Q5VST6	AB17B_HUMAN	Alpha/beta hydrolase domain-containing protein 17B, Abhydrolase domain-containing protein 17B, EC 3.1.2.22	ABHD17B	ABHD	17	3	2		
Homo sapiens	APT	A0A0G2JJD3	A0A0G2JJD3_HUMAN	Phosphatidylserine lipase ABHD16A (Alpha/beta hydrolase domain-containing protein 16A) (Monoacylglycerol lipase ABHD16A)	ABHD16A	ABHD	16	0	0		
Cricetulus griseus	PAT	G3I4K0	G3I4K0_CRIGR	Putative palmitoyltransferase ZDHHC24	NA	ZDHHC	24	0	0		
Sus scrofa	PAT	Q9TUF6	Q9TUF6_PIG	Long-chain 3-ketoacyl-CoA thiolase	LCTHIO			2	2	O15492	2,12,98
Homo sapiens	PAT	H7C365	H7C365_HUMAN	Palmitoyltransferase ZDHHC3	ZDHHC3	ZDHHC	3	0	0		
Homo sapiens	PAT	O15498	YKT6_HUMAN	Synaptobrevin homolog YKT6, EC 2.3.1.-	YKT6			1	1	O15498	194,195
Homo sapiens	PAT	H0YIK0	H0YIK0_HUMAN	Palmitoyltransferase ZDHHC17	ZDHHC17	ZDHHC	17	0	0		
Mus musculus	PAT	E0CYB8	E0CYB8_MOUSE	Probable palmitoyltransferase ZDHHC24	Zdhhc24	ZDHHC	24	0	0		
Mus musculus	PAT	E0CY85	E0CY85_MOUSE	Palmitoyltransferase ZDHHC4	Zdhhc4	ZDHHC	4	0	0		
Homo sapiens	PAT	H0YI74	H0YI74_HUMAN	Palmitoyltransferase ZDHHC17	ZDHHC17	ZDHHC	17	0	0		
Cricetulus griseus	PAT	G3GSM4	G3GSM4_CRIGR	Putative palmitoyltransferase ZDHHC19	NA	ZDHHC	19	0	0		
Mus musculus	PAT	D6RDS4	D6RDS4_MOUSE	Palmitoyltransferase ZDHHC3	Zdhhc3	ZDHHC	3	0	0		
Mus musculus	PAT	D6RHS2	D6RHS2_MOUSE	Palmitoyltransferase ZDHHC3	Zdhhc3	ZDHHC	3	0	0		
Mus musculus	PAT	M0QWP4	M0QWP4_MOUSE	Palmitoyltransferase ZDHHC4	Zdhhc4	ZDHHC	4	0	0		
Mus musculus	PAT	Q3TRB3	Q3TRB3_MOUSE	Uncharacterized protein	Zdhhc17	ZDHHC	17	0	0		
Mus musculus	PAT	E0CXP7	E0CXP7_MOUSE	Palmitoyltransferase ZDHHC4	Zdhhc4	ZDHHC	4	0	0		
Mus musculus	PAT	Q5SRN8	Q5SRN8_MOUSE	Palmitoyltransferase ZDHHC21	Zdhhc21	ZDHHC	21	0	0		
Bos taurus	PAT	Q2YDJ1	Q2YDJ1_BOVIN	Zinc finger, DHHC-type containing 1	ZDHHC1	ZDHHC	1	0	0		
Mus musculus	PAT	D6RFV6	D6RFV6_MOUSE	Palmitoyltransferase ZDHHC3	Zdhhc3	ZDHHC	3	0	0		
Mus musculus	PAT	E0CZ11	E0CZ11_MOUSE	Probable palmitoyltransferase ZDHHC24	Zdhhc24	ZDHHC	24	0	0		
Homo sapiens	PAT	G3V3N3	G3V3N3_HUMAN	Palmitoyltransferase ZDHHC22	ZDHHC22	ZDHHC	22	0	0		
Xenopus laevis	PAT	Q6DCL3	Q6DCL3_XENLA	Palmitoyltransferase	zdhhc3.L			1	1		
Homo sapiens	PAT	F8VX48	F8VX48_HUMAN	Palmitoyltransferase ZDHHC17	ZDHHC17	ZDHHC	17	0	0		
Homo sapiens	PAT	C9JPJ8	C9JPJ8_HUMAN	Palmitoyltransferase ZDHHC23	ZDHHC23	ZDHHC	23	0	0		
Homo sapiens	PAT	O43617	TPPC3_HUMAN	Trafficking protein particle complex subunit 3 (BET3 homolog)	TRAPPC3			1	1	O43617	68
Homo sapiens	PAT	P53816	PLAT3_HUMAN	Phospholipase A and acyltransferase 3, EC 2.3.1.-, EC 3.1.1.32, EC 3.1.1.4 (Adipose-specific phospholipase A2, AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog, H-REV107, HREV107-1) (HRAS-like suppressor 1) (HRAS-like suppressor 3, HRSL3) (HREV107-3) (Renal carcinoma antigen NY-REN-65)	PLA2G16			1	1		
Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	PAT	P39010	AKR1_YEAST	Palmitoyltransferase AKR1, EC 2.3.1.225 (Ankyrin repeat-containing protein AKR1)	AKR1	AKR	1	13	10	P23292	545,546
Homo sapiens	PAT	Q8IUH4	ZDH13_HUMAN	Palmitoyltransferase ZDHHC13, EC 2.3.1.225 (Huntingtin-interacting protein 14-related protein, HIP14-related protein) (Huntingtin-interacting protein HIP3RP) (Putative MAPK-activating protein PM03) (Putative NF-kappa-B-activating protein 209) (Zinc finger DHHC domain-containing protein 13, DHHC-13)	ZDHHC13	ZDHHC	13	8	7	Q12852	403
Schizosaccharomyces pombe	PAT	Q10182	ERFD_SCHPO	Ras modification protein erf4 (Meiotically up-regulated gene 91 protein)	erf4	ERF	4	1	1		
Homo sapiens	PAT	Q15562	TEAD2_HUMAN	Transcriptional enhancer factor TEF-4 (TEA domain family member 2, TEAD-2)	TEAD2			2	1		
Mus musculus	PAT	Q8BMT9	HHAT_MOUSE	Protein-cysteine N-palmitoyltransferase HHAT, EC 2.3.1.- (Hedgehog acyltransferase) (Skinny hedgehog protein)	Hhat	HHAT		1	1		
Homo sapiens	PAT	F8VPW2	F8VPW2_HUMAN	Palmitoyltransferase ZDHHC17	ZDHHC17	ZDHHC	17	0	0		
Drosophila melanogaster	PAT	Q9VZU2	HHAT_DROME	Protein-cysteine N-palmitoyltransferase Rasp, EC 2.3.1.- (Protein central missing) (Protein sightless) (Protein skinny hedgehog)	rasp			1	1	Q01083	29
Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	PAT	Q03289	PFA5_YEAST	Palmitoyltransferase PFA5, EC 2.3.1.225 (Protein fatty acyltransferase 5)	PFA5	PFA	5	3	3		
Homo sapiens	PAT	H3BMI0	H3BMI0_HUMAN	Palmitoyltransferase ZDHHC7	ZDHHC7	ZDHHC	7	0	0		
Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	PAT	Q04629	SWF1_YEAST	Palmitoyltransferase SWF1, EC 2.3.1.225 (Spore wall formation protein 1)	SWF1	SWF	1	3	3		
Homo sapiens	PAT	P49327	FAS_HUMAN	Fatty acid synthase, EC 2.3.1.85 (Type I fatty acid synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase, EC 2.3.1.38; [Acyl-carrier-protein] S-malonyltransferase, EC 2.3.1.39; 3-oxoacyl-[acyl-carrier-protein] synthase, EC 2.3.1.41; 3-oxoacyl-[acyl-carrier-protein] reductase, EC 1.1.1.100; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase, EC 4.2.1.59; Enoyl-[acyl-carrier-protein] reductase, EC 1.3.1.39; Acyl-[acyl-carrier-protein] hydrolase, EC 3.1.2.14 ]	FASN			1	1		
Homo sapiens	PAT	C9J5I9	C9J5I9_HUMAN	Palmitoyltransferase ZDHHC4	ZDHHC4	ZDHHC	4	0	0		
Mus musculus	PAT	D3Z2A6	D3Z2A6_MOUSE	Palmitoyltransferase ZDHHC3	Zdhhc3	ZDHHC	3	0	0		
Mus musculus	PAT	Q05D46	Q05D46_MOUSE	Palmitoyltransferase ZDHHC3 (Zdhhc3 protein)	Zdhhc3	ZDHHC	3	0	0		
Mus musculus	PAT	P19096	FAS_MOUSE	Fatty acid synthase, EC 2.3.1.85 (Type I Fatty Acid Synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase, EC 2.3.1.38; [Acyl-carrier-protein] S-malonyltransferase, EC 2.3.1.39; 3-oxoacyl-[acyl-carrier-protein] synthase, EC 2.3.1.41; 3-oxoacyl-[acyl-carrier-protein] reductase, EC 1.1.1.100; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase, EC 4.2.1.59; Enoyl-[acyl-carrier-protein] reductase, EC 1.3.1.39; Acyl-[acyl-carrier-protein] hydrolase, EC 3.1.2.14 ]	Fasn			1	1	P06837	3,4
Mus musculus	PAT	Q9CWU2	ZDH13_MOUSE	Palmitoyltransferase ZDHHC13, EC 2.3.1.225 (Huntingtin-interacting protein 14-related protein, HIP14-related protein) (Zinc finger DHHC domain-containing protein 13, DHHC-13)	Zdhhc13	ZDHHC	13	23	22	P53690;Q01726;Q60700	574;315;436
Homo sapiens	PAT	H0YEN1	H0YEN1_HUMAN	Palmitoyltransferase ZDHHC18	ZDHHC18	ZDHHC	18	0	0		
Mus musculus	PAT	D6RHA3	D6RHA3_MOUSE	Palmitoyltransferase ZDHHC3	Zdhhc3	ZDHHC	3	0	0		
Homo sapiens	APT	O95870	ABHGA_HUMAN	Phosphatidylserine lipase ABHD16A, EC 3.1.-.- (Alpha/beta hydrolase domain-containing protein 16A, Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5, hBAT5) (Monoacylglycerol lipase ABHD16A, EC 3.1.1.23) (Protein G5)	ABHD16A	ABHD	16	0	0		
Homo sapiens	APT	Q96GS6	AB17A_HUMAN	Alpha/beta hydrolase domain-containing protein 17A, Abhydrolase domain-containing protein 17A, EC 3.1.2.22	ABHD17A	ABHD	17	4	3		
Xenopus laevis	APT	Q6DD70	AB17C_XENLA	Alpha/beta hydrolase domain-containing protein 17C, Abhydrolase domain-containing protein 17C, EC 3.1.2.22	abhd17c	ABHD	17	0	0		
Homo sapiens	APT	Q6PCB6	AB17C_HUMAN	Alpha/beta hydrolase domain-containing protein 17C, Abhydrolase domain-containing protein 17C, EC 3.1.2.22	ABHD17C	ABHD	17	4	3		
Danio rerio	APT	Q7ZVZ7	AB17C_DANRE	Alpha/beta hydrolase domain-containing protein 17C, Abhydrolase domain-containing protein 17C, EC 3.1.2.22	abhd17c	ABHD	17	0	0		
Bos taurus	APT	Q1JPD2	ABHGA_BOVIN	Phosphatidylserine lipase ABHD16A, EC 3.1.-.- (Alpha/beta hydrolase domain-containing protein 16A, Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5 homolog) (Monoacylglycerol lipase ABHD16A, EC 3.1.1.23)	ABHD16A	ABHD	16	0	0		
